Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Moeda,Valor_anuncio,Tipo_anuncio,Valor_anuncio_float
"Avenida Itacira, 255 ",Planalto Paulista,São Paulo,1000,4,8,6,R$ 7.000.000,R$,7.000.000,,7000000.0
"Rua Aurelia Perez Alvarez, 42 ",Jardim dos Estados,São Paulo,496,4,4,4,R$ 3.700.000,R$,3.700.000,,3700000.0
Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,R$ 380.000,R$,380.000,,380000.0
,Jardim Morumbi,São Paulo,310,3,2,4,R$ 685.000,R$,685.000,,685000.0
"Rua Tobias Barreto, 195 ",Mooca,São Paulo,100,3,2,2,R$ 540.000,R$,540.000,,540000.0
Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,R$ 1.980.000,R$,1.980.000,,1980000.0
"Rua Francisco Paulo, 31 ",Cidade Mãe do Céu,São Paulo,145,4,4,2,R$ 850.000,R$,850.000,,850000.0
"Rua Guilherme Valente, 150 ",Jardim Vergueiro,São Paulo,150,2,2,2,R$ 450.000,R$,450.000,,450000.0
"Rua Sagrada Família, 8 ",Jardim Benfica,São Paulo,48,2,1,1,R$ 199.900,R$,199.900,,199900.0
Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,R$ 585.000,R$,585.000,,585000.0
"Rua Vigário João Álvares, 66 ",Vila Monumento,São Paulo,261,4,4,3,R$ 700.000,R$,700.000,,700000.0
,Jardim Luzitânia,São Paulo,436,4,3,3,R$ 15.000,R$,15.000,,15000.0
"Rua Tuim, 449 ",Vila Uberabinha,São Paulo,193,3,3,2,R$ 2.500.000,R$,2.500.000,,2500000.0
"Rua Antônio Pereira Mendes, 98 ",Jardim Prudência,São Paulo,251,3,5,4,R$ 1.700.000,R$,1.700.000,,1700000.0
"Rua João Antunes Carvalho, 75 ",Lauzane Paulista,São Paulo,300,4,5,4,R$ 1.150.000,R$,1.150.000,,1150000.0
Rua Timbé,Jardim Santa Maria,São Paulo,135,3,3,2,R$ 550.000,R$,550.000,,550000.0
Rua João Tauler,Vila Nova,São Paulo,180,4,2,4,R$ 420.000,R$,420.000,,420000.0
"Rua Alice Garcia Vega, 345 ",Itaberaba,São Paulo,300,3,5,4,R$ 2.232.000,R$,2.232.000,,2232000.0
"Rua Graham Bell, 332 ",Santo Amaro,São Paulo,772,7,7,6,R$ 2.700.000,R$,2.700.000,,2700000.0
"Avenida Antônio Joaquim de Moura Andrade, 294 ",Vila Nova Conceição,São Paulo,605,3,3,4,R$ 4.190.000,R$,4.190.000,,4190000.0
"Rua Marcos Fernandes, 1039 ",Jardim da Saúde,São Paulo,110,3,2,5,R$ 860.000,R$,860.000,,860000.0
"Rua José Leão dos Santos, 606 ",Jardim Santo Antônio,São Paulo,250,4,4,4,R$ 650.000,R$,650.000,,650000.0
"Rua Jaime Pinto Ferreira, 93 ",Vila Mazzei,São Paulo,120,2,1,1,R$ 490.000,R$,490.000,,490000.0
Rua Aldo de Azevedo,Vila Madalena,São Paulo,170,2,2,1,R$ 1.485.000,R$,1.485.000,,1485000.0
"Rua Antônio Wey, 161 ",Jardim Ivana,São Paulo,250,3,1,5,R$ 650.000,R$,650.000,,650000.0
"Rua João Francisco de Moura, 111 ",Vila Campo Grande,São Paulo,110,3,3,2,R$ 550.000,R$,550.000,,550000.0
"Rua Serra de Botucatu, 993 ",Vila Gomes Cardim,São Paulo,120,3,2,2,R$ 1.100.000,R$,1.100.000,,1100000.0
"Rua Andrade Neves, 37 ",Bela Aliança,São Paulo,502,4,6,4,R$ 2.985.000,R$,2.985.000,,2985000.0
Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,R$ 1.700.000,R$,1.700.000,,1700000.0
Rua Senador Vergueiro,Santo Amaro,São Paulo,355,4,7,4,R$ 3.100.000,R$,3.100.000,,3100000.0
Rua dos Plátanos,Cidade Jardim,São Paulo,1195,4,4,6,R$ 8.700.000,R$,8.700.000,,8700000.0
